"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"MountingHole_3.5mm_Pad_Via";3;"MountingHole_3.5mm_Pad_Via";;;
2;"R9,R12,R3,R4,R7,R8,R13,R14";"R_0603_1608Metric";8;"10K";;;
3;"J12";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"STEPPER2_CONN";;;
4;"J14";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"DCMOTOR_1";;;
5;"U1";"TO-252-2";1;"L7805";;;
6;"K1,K2";"Relay_SPDT_SANYOU_SRD_Series_Form_C";2;"SANYOU_SRD_Form_B";;;
7;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
8;"A2";"Pololu_Breakout-16_15.2x20.3mm";1;"Stepper1";;;
9;"A3";"Pololu_Breakout-16_15.2x20.3mm";1;"Stepper2";;;
10;"C1,C6,C7";"C_0603_1608Metric";3;"100nF/16V";;;
11;"C2,C3,C4,C5,C8,C9";"CP_Elec_6.3x5.4";6;"100uF/16V";;;
12;"D2,D3,D4,D5,D7,D8";"D_SMA";6;"D";;;
13;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"INPUT_12V_RAW";;;
14;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SERIAL_CONNECTOR";;;
15;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"MOSFET1_CONN";;;
16;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"MOSFET3_CONN";;;
17;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C_CONNECTOR";;;
18;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"MOSFET2_CONN";;;
19;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"MOSFET4_CONN";;;
20;"J8";"JST_EH_B04B-EH-A_1x04_P2.50mm_Vertical";1;"SERIAL_CONNECTOR";;;
21;"J9";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"RELAY1_CONN";;;
22;"J10";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"RELAY2_CONN";;;
23;"J11";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"STEPPER1_CONN";;;
24;"J13";"JST_EH_B04B-EH-A_1x04_P2.50mm_Vertical";1;"I2C_CONNECTOR";;;
25;"J15";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"DCMOTOR_2";;;
26;"Q1,Q2,Q3,Q4";"TO-92_Inline";4;"BS170";;;
27;"Q5";"SOT-23";1;"AP2305GN-HF-3";;;
28;"Q6,Q7";"TO-92_Inline";2;"BC547";;;
29;"R1";"R_0603_1608Metric";1;"2K2";;;
30;"R2,R5,R6,R10,R11,R15,R16";"R_0603_1608Metric";7;"1K";;;
31;"U2,U3";"DPAK127P1500X440-8N";2;"TLE5206-2G";;;
